,deviceCategory,channelGrouping,PageDepth,sessionDuration,transactions,operatingSystem,landingPageKeyWord,fuente,transporte
0,desktop,Organic Search,22,288.0,0,Windows,home,google,organic
1,desktop,Organic Search,16,101.0,0,Windows,home,google,organic
2,desktop,Direct,6,17.0,0,Windows,home,(direct),(none)
3,desktop,Direct,5,74.0,0,Windows,home,(direct),(none)
4,desktop,Direct,7,61.0,0,Windows,home,(direct),(none)
5,desktop,Paid Search,3,117.0,0,Macintosh,product,google,cpc
6,desktop,Direct,14,537.0,0,Macintosh,home,(direct),(none)
7,desktop,Paid Search,2,166.0,0,Windows,product,google,cpc
8,desktop,Paid Search,2,104.0,0,Windows,product,google,cpc
9,desktop,Organic Search,6,589.0,1,Windows,home,google,organic
10,desktop,Organic Search,3,20.0,0,Windows,home,google,organic
11,desktop,Organic Search,2,63.0,0,Windows,home,google,organic
12,desktop,Organic Search,9,851.0,0,Windows,home,google,organic
13,desktop,Organic Search,3,31.0,0,Windows,home,google,organic
14,desktop,Organic Search,7,180.0,0,Windows,home,google,organic
15,desktop,Organic Search,3,31.0,0,Windows,home,google,organic
16,desktop,Direct,18,1698.0,0,Windows,home,(direct),(none)
17,desktop,Organic Search,5,104.0,0,Windows,home,google,organic
18,desktop,Organic Search,4,112.0,1,Windows,home,google,organic
19,desktop,Organic Search,24,818.0,0,Windows,home,google,organic
20,desktop,Paid Search,38,1859.0,0,Macintosh,product,google,cpc
21,desktop,Organic Search,5,31.0,0,Macintosh,search,google,organic
22,desktop,Paid Search,15,199.0,0,Macintosh,home,google,cpc
23,desktop,Paid Search,3,18.0,0,Macintosh,home,google,cpc
24,desktop,Paid Search,2,194.0,0,Macintosh,product,google,cpc
25,desktop,Organic Search,3,28.0,0,Windows,home,google,organic
26,desktop,Direct,11,235.0,0,Macintosh,home,(direct),(none)
27,desktop,Organic Search,5,763.0,0,Windows,home,google,organic
28,desktop,Organic Search,4,58.0,0,Windows,home,google,organic
29,desktop,Paid Search,9,110.0,0,Macintosh,home,google,cpc
30,desktop,Organic Search,8,804.0,0,Windows,home,google,organic
31,desktop,Organic Search,58,1756.0,0,Windows,home,google,organic
32,desktop,Organic Search,23,1879.0,0,Windows,home,google,organic
33,desktop,Direct,5,162.0,0,Windows,home,(direct),(none)
34,desktop,Direct,8,265.0,0,Windows,home,(direct),(none)
35,desktop,Direct,9,92.0,0,Macintosh,home,(direct),(none)
36,desktop,Direct,9,92.0,0,Macintosh,home,(direct),(none)
37,desktop,Organic Search,8,817.0,0,Macintosh,home,google,organic
38,desktop,Organic Search,3,37.0,0,Windows,home,google,organic
39,desktop,Organic Search,4,20.0,0,Windows,home,google,organic
40,desktop,Organic Search,7,62.0,0,Windows,home,google,organic
41,desktop,Organic Search,12,586.0,0,Windows,home,google,organic
42,desktop,Organic Search,29,690.0,0,Windows,home,google,organic
43,desktop,Organic Search,13,758.0,0,Windows,home,google,organic
44,desktop,Organic Search,3,37.0,0,Windows,home,google,organic
45,desktop,Organic Search,8,219.0,0,Windows,home,google,organic
46,desktop,Paid Search,2,19.0,0,Macintosh,product,google,cpc
47,desktop,Direct,5,77.0,0,Windows,home,(direct),(none)
48,desktop,Organic Search,4,83.0,0,Macintosh,home,google,organic
49,desktop,Organic Search,5,25.0,0,Macintosh,home,google,organic
50,desktop,Organic Search,13,155.0,0,Windows,home,google,organic
51,desktop,Paid Search,2,7.0,0,Windows,product,google,cpc
52,desktop,Organic Search,5,126.0,0,Windows,home,google,organic
53,desktop,Organic Search,8,180.0,0,Windows,home,google,organic
54,desktop,Organic Search,8,116.0,0,Windows,home,google,organic
55,desktop,Organic Search,21,183.0,0,Windows,home,google,organic
56,desktop,Organic Search,12,418.0,0,Windows,home,google,organic
57,desktop,Paid Search,8,1288.0,0,Windows,home,google,cpc
58,desktop,Paid Search,2,235.0,0,Windows,product,google,cpc
59,desktop,Organic Search,7,39.0,0,Windows,home,google,organic
60,desktop,Organic Search,12,288.0,0,Windows,home,google,organic
61,desktop,Direct,5,56.0,0,Windows,home,(direct),(none)
62,desktop,Direct,5,62.0,0,Windows,home,(direct),(none)
63,desktop,Direct,11,1912.0,0,Windows,product,(direct),(none)
64,desktop,Paid Search,4,45.0,0,Macintosh,product,google,cpc
65,desktop,Organic Search,9,3062.0,0,Macintosh,home,google,organic
66,desktop,Organic Search,9,151.0,0,Windows,home,google,organic
67,desktop,Organic Search,3,292.0,0,Windows,home,google,organic
68,desktop,Organic Search,11,254.0,0,Windows,home,google,organic
69,desktop,Direct,4,19.0,0,Macintosh,home,(direct),(none)
70,desktop,Direct,4,29.0,0,Macintosh,home,(direct),(none)
71,desktop,Organic Search,5,310.0,0,Windows,home,google,organic
72,desktop,Paid Search,7,139.0,0,Windows,product,google,cpc
